█,█,█,█,█,█,█,█,█,█,█,█,█,█,█,█,█,█,█,█,█,█,█,█,█,█,█,█,█,█,█,█,█,█,█,█,█,█,█,█,█,█,█,█,█,█,█,█,█,█,█,█,█,█,█,█,█,█,█,█,█,█
█,,,,,,,,,,,,,,,,L/,,,,l/,,,,L/,,,,,,,,,,█,,,,D,,,,,,,,█,█,█,,,,█,█,█,,,,,█,█,█
█,,,,█,,█,A,█,█,█,█,▌,1,▐,█,█,█,█,█,█,█,█,█,█,█,█,,█,,,,█,,L/,,█,,█,█,█,█,█,,,,█,█,█,,,,█,█,█,,,,,█,█,█
█,,█,,,,█,,,█,,,█,█,█,█,,,,,r,r,,,,█,█,A,█,█,,,,,█,,,,█,,,,,,,,,,A,,,r,,,A,,,r,,A,,█
█,,R,,█,,█,r,,█,,,,,,,,,,,█,█,█,█,,█,,,,█,,,,,█,,,,█,,,,█,█,█,,,,█,█,█,,,,█,█,█,,,█,R,█
█,,,,█,,█,,,█,,█,,█,█,,,█,█,,,,,K,,A,,,,█,,,█,,l/,,█,,█,▌,2,▐,█,█,█,,,,█,█,█,,,,█,█,█,,,█,X,█
█,,█,,█,,█,r,,█,,█,,█,█,,,█,ᴗ,,█,█,█,█,,█,,,,█,,,,,█,,r,r,█,█,█,█,█,█,█,A,█,█,█,█,█,A,█,█,█,█,█,A,█,█,█,█
█,,█,,█,,█,,,█,,█,,,,,,,,,,,,,,█,R,r,█,█,,,r,,█,,M,,█,,,,█,,,,█,█,█,X,,,█,█,█,,,,█,█,,█
█,,█,,█,,█,,M,█,,♠,█,█,█,█,,,,█,█,█,█,█,,█,█,█,█,█,,,█,,L/,,█,,█,,,,█,,,,█,█,█,,,,█,█,█,,,,█,█,R,█
█,,█,,█,,█,A,█,█,█,█,,,,█,█,█,█,█,,█,X,█,,█,,,,█,,,r,,█,,,,█,X,r,,A,,,r,,,A,,,r,,,A,,,r,,A,X,█
█,,,,,,,,,K,█,█,,█,,,,L/,,,,,,,,█,,█,,,,,,,█,,,ᴗ,█,█,,,█,█,█,,,,█,█,█,,,,█,█,█,,,█,█,█
█,█,█,█,█,█,█,█,█,,█,█,,█,,,,█,█,█,█,█,█,█,C,█,,█,█,█,█,,█,█,█,█,█,█,█,█,,,█,█,█,,,,█,█,█,,,,█,█,█,,,█,█,█
