█,█,█,█,█,█,█,█,█,█,█,█,█,█,█,█,█,█,█,█,█,█,█,█,█,█,█,█,█,█,█,█,█,█,█,█,█,█,█,█,█,█,█,█,█,█,█,█,█,█,█,█,█,█,█,█,█,█,█,█,█,█
█,▒,█,r,R, ,▒,▒,▒,▒,▒,▒,▒,▒,▒,▒,▒,▒,▒,▒,▒,▒,▒,▒,▒,▒,▒,▒,▒,ᴗ,█,▒,▒,▒,▒,▒,▒,▒,R,R,▒,▒,▒,▒,▒,▒,▒,▒,▒,▒,▒,▒,▒,▒,▒,▒,▒,▒,▒,R,R,█
█,▒,█,R,X,▒,▒,▒,▒,▒,█,▒,▒,▒,▒,▒,▒,▒,▒,▒,▒,▒,▒,▒,▒,▒,▒,▒,▒,▒,█,▒,▒,▒,▒,▒,▒,▒,▒,▒,▒,▒,▒,▒,▒,▒,▒,▒,▒,▒,▒,▒,█,▒,▒,▒,▒,▒,▒,█, ,█
█,▒,█,▒,▒,▒,▒,▒,▒,▒,█,▒,▒,▒,▒,▒,▒,▒,▒,▒,▒,▒,▒,▒,▒,▒,▒,▒,▒,▒,█,▒,▒,▒,▒,▒,▒,▒,▒,▒,▒,▒,▒,▒,▒,▒,▒,▒,▒,▒,▒,▒,█,▒,▒,▒,▒,▒,▒,█,▒,█
█,▒,█,▒,▒,▒,█,█,█,█,█,█,█,█,▒,▒,▒,▒,▒,▒,▒,▒,▒,▒,▒,▒,▒,▒,▒,▒,█,▒,▒,▒,▒,▒,▒,▒,▒,▒,▒,▒,▒,▒,▒,▒,▒,▒,█,█,█,█,█,█,█,█,▒,▒,▒,█,▒,█
█,▒,█,▒,▒,▒,▒,▒,▒,▒,█,▒,▒,▒,▒,▒,▒,▒,▒,▒,▒,▒,▒,▒,▒,▒,,R,R,r,r,r,R,R,,▒,▒,▒,▒,▒,▒,▒,▒,▒,▒,▒,▒,▒,▒,▒,▒,▒,█,▒,▒,▒,▒,▒,▒,█,▒,█
█,▒,█,▒,▒,▒,▒,▒,▒,▒,█,▒,▒,▒,▒,▒,▒,X,█,█,█,█,S,█,█,█,█,█,█,█,█,█,█,█,█,█,█,█,█,█,S,█,▒,▒,X,▒,▒,▒,▒,▒,▒,▒,█,▒,▒,▒,▒,▒,▒,█,▒,█
█,▒,█,▒,▒,▒,▒,R,R, ,█,▒,▒,▒,▒,▒,K,█,▒,▒,▒,▒,▒,▒,▒,▒,▒,▒,▒,ᴗ,█,ᴗ,▒,▒,▒,▒,▒,▒,▒,▒,▒,▒,█,█,█,▒,▒,▒,▒,▒,▒,▒,█,▒,▒,▒,▒,▒,▒,█,▒,█
█,▒,█,▒,▒,▒,▒,R,▒,▒,▒,▒,▒,▒,▒,M,█,▒,▒,▒,▒,▒,▒,▒,▒,▒,▒,▒,▒,▒,█,▒,▒,▒,▒,▒,▒,▒,▒,▒,▒,▒,▒,▒,▒,█,M,▒,▒,▒,▒,▒,▒,▒,▒,▒,▒,▒,▒,█,▒,█
█,▒,█,█,█,█,█,█,█,█,█,█,█,█,█,█,▒,▒,▒,█,▒,▒,▒,▒,▒,▒,▒,▒,▒,▒,█,▒,▒,▒,▒,▒,▒,▒,▒,▒,▒,▒,█,▒,▒,▒,█,█,█,█,█,█,█,█,█,█,█,█,█,█,▒,█
