█,█,█,█,█,█,█,█,█,█,█,█,█,█,█,█,█,█,█,█,█,█,█,█,█,█,█,█,█,█,█,█,█,█,█,█,█,█,█,█,█,█,█,█,█,█,█,█,█,█,█,█,█,█,█,█,█,█,█,█,█,█
█,,L/,L/,l/,L/,L/,r,r,,█,R,R,R,█,r,r,r,█,R,R,R,R,,,,,,,,,,,,,,,,,,,,,,,,D,,█,,,,,█,█,,,,X,█,█,█
█,,█,█,█,█,█,,█,,█,,█,,█,,█,,█,,█,█,█,█,█,█,M,,█,█,█,█,█,█,,█,█,█,█,█,,X,█,█,█,█,█,,█,█,,,,,█,,,,,,█,█
█,,,,,,█,,█,,█,r,r,,█,,█,,█,,,,,,,,,,,,,,,,,,,,,,,,,,,,█,,,█,█,,,,,,,,,,,█
█,█,█,█,R,,█,,█,,█,,█,,█,,█,,█,,█,█,█,,█,█,█,█,S,█,█,█,█,,█,█,█,█,█,S,█,█,█,█,█,,█,,,,█,█,,,,,,█,,,,█
█,,L,l,,,█,R,,,█,,█,,M,,S,,█,,,,,,,,,,,,,,,,,,,,,,,,,,,,█,,,,,█,,█,,,,█,█,,,█
█,,█,█,█,█,█,,█,,█,,S,,,,█,,█,█,█,█,█,█,█,█,█,,█,█,█,█,█,S,█,█,█,█,,█,█,█,█,█,█,█,█,,█,,,,,█,█,,,,█,█,,█
█,,,,,,█,,█,,█,,█,,█,,█,,█,█,█,r,r,r,,,A,,,,,,,,,,,,,A,R,R,R,,,,█,,█,█,,,,,█,█,,,K,█,,█
█,R,R,R,,,█,,█,,,,█,,█,,█,,l/,,█,█,█,█,█,█,█,█,█,█,█,█,D,█,█,█,█,█,█,█,█,█,█,█,█,█,█,,,█,█,,,,,█,,,,,,█
█,,,,,,█,,█,,█,,█,,S,,█,,█,r,r,r,r,,,,,,,,,,,,R,R,R,R,,,,,,,,ᴗ,█,,,,█,r,r,r,,,,,,,,█
█,,,,,,█,,,,█,,,,█,,,,█,,,█,,,█,,,,,,,,,,,,,,,,█,,,,,,█,ᴗ,,,,R,R,R,,,,,,,,█
█,O,K,,,█,█,,█,,█,,X,,█,,█,,█,,,,,,,,,█,A,█,K,█,█,█,█,█,█,A,█,,,,,,█,,█,█,█,█,█,█,█,█,█,█,█,█,█,█,█,█
█,█,█,C,█,█,█,,,,█,,█,,█,,█,,█,,,,█,,,,,█,R,R,R,,,,,,,,█,,,█,,,,,l/,r,r,r,r,,,,,,,,█,█,█,█
█,R,,,,K,█,█,█,█,█,█,█,,,,S,,█,,█,,,,,█,,█,,█,█,X,,,,,,,█,,,,,,,,█,,,,,,█,,█,,,,,█,█,█
█,,█,,,█,█,,,,█,█,█,,█,,█,,█,,,,,,,,,█,r,r,r,,,,,█,█,,█,,,,I,,,,█,,,,,█,█,,█,█,,,,,█,█
